CBO;Cargo;Carga Hor†ria;Piso Salarial;MÇdia Salarial;Sal†rio Mediana;Teto Salarial;Sal†rio Hora
612510;Abacaxicultor;44;1000,00;1412,19;1217,00;2134,14;6,44
263105;Abade;38;998,00;3033,58;1900,00;4584,43;15,91
263105;Abadessa;38;998,00;3033,58;1900,00;4584,43;15,91
622020;Abanador na Agricultura;44;998,00;1232,30;1147,00;1862,28;5,61
862120;Abastecedor de Caldeira;43;998,00;1808,41;1597,00;2732,92;8,34
862160;Abastecedor de Combust°vel de Aeronave;43;998,00;2009,51;1890,50;3036,84;9,32
784205;Abastecedor de Linha de Produá∆o;44;998,00;1344,10;1295,00;2031,24;6,14
784205;Abastecedor de M†quinas de Linha de Produá∆o;44;998,00;1344,10;1295,00;2031,24;6,14
632605;Abastecedor de Silos de Carv∆o;43;998,00;1142,98;1097,00;1727,30;5,31
848505;Abatedor;44;1256,00;1314,41;1256,00;1986,37;6,00
632125;Abatedor - na Extraá∆o de Madeira;44;998,00;1127,40;1075,00;1703,76;5,13
848505;Abatedor de Animais;44;1256,00;1314,41;1256,00;1986,37;6,00
848505;Abatedor de Aves;44;1256,00;1314,41;1256,00;1986,37;6,00
848505;Abatedor de Gado;44;1256,00;1314,41;1256,00;1986,37;6,00
848505;Abatedor de Galinha;44;1256,00;1314,41;1256,00;1986,37;6,00
848505;Abatedor de Porco;44;1256,00;1314,41;1256,00;1986,37;6,00
848505;Abatedor em Matadouro;44;1256,00;1314,41;1256,00;1986,37;6,00
613405;Abelheiro;44;998,00;1205,75;1100,00;1822,17;5,49
711410;Abridor - Nas Salinas;44;998,00;1246,97;1020,00;1884,45;5,69
761205;Abridor de L∆;44;1172,00;1397,10;1267,00;2111,34;6,40
764305;Acabador de Calcados;44;998,00;1331,30;1260,00;2011,91;6,06
768125;Acabador de ChapÇus de Palha;44;998,00;1008,18;998,00;1523,59;4,58
766305;Acabador de Embalagens (Flex°veis e Cartotecnicas);44;1630,00;1522,32;1501,00;2300,57;6,96
722305;Acabador de Macho - na Fundiá∆o;44;1040,00;1299,35;1185,00;1963,61;5,92
716525;Acabador de M†rmore e Granito;44;998,00;1676,31;1537,00;2533,28;7,64
722315;Acabador de Moldes (fundiá∆o);43;1302,00;1550,92;1397,00;2343,79;7,14
712220;Acabador de Pedras;44;1436,00;1521,05;1438,00;2298,65;6,98
716105;Acabador de Superf°cies de Concreto;44;1752,00;1626,50;1545,00;2458,01;7,41
715205;Acafelador;44;1359,00;1518,40;1453,00;2294,65;6,92
632405;Aáaizeiro;44;998,00;1046,46;998,00;1581,44;4,80
721325;Acepilhador de Metais;44;1458,00;1627,40;1492,00;2459,37;7,42
761240;Acertador de Maáaroqueira;44;1837,00;1566,39;1553,00;2367,17;7,12
516210;Acompanhante de Idosos;41;998,00;1205,26;1170,00;1821,42;5,89
848510;Aáougueiro;44;1500,00;1409,20;1350,00;2129,62;6,42
848520;Aáougueiro Classificador (exclusive ComÇrcio);44;1210,00;1328,74;1285,00;2008,03;6,06
848525;Aáougueiro Cortador (exclusive ComÇrcio);44;998,00;1385,10;1326,00;2093,20;6,31
848515;Aáougueiro Desossador;44;1214,00;1506,49;1441,00;2276,65;6,86
848510;Aáougueiro Retalhista;44;1500,00;1409,20;1350,00;2129,62;6,42
376205;Acrobata;42;1423,00;1449,86;1423,00;2191,07;6,85
